STOPID,shape
5310,POINT (-122.479696 37.765428)
6641,POINT (-122.49451 37.742188)
6642,POINT (-122.415192 37.805231)
4796,POINT (-122.42829 37.71174)
6311,POINT (-122.42118 37.79155)
3258,POINT (-122.43327 37.76751)
7476,POINT (-122.425352 37.80484)
3164,POINT (-122.394895 37.776894)
8046,POINT (-122.393532 37.760146)
6191,POINT (-122.40271 37.76489)
6269,POINT (-122.447654 37.719421)
6999,POINT (-122.405005 37.774587)
5548,POINT (-122.42002 37.7678)
4870,POINT (-122.41586 37.79206)
6366,POINT (-122.40216 37.71385)
6144,POINT (-122.48131 37.74846)
6924,POINT (-122.41136 37.79453)
4035,POINT (-122.456178 37.751628)
3066,POINT (-122.503838 37.77535)
5405,POINT (-122.420178 37.780052)
6251,POINT (-122.3863 37.72953)
5135,POINT (-122.471324 37.710707)
4087,POINT (-122.40579 37.80266)
4482,POINT (-122.417357 37.783273)
6088,POINT (-122.446736 37.787381)
6780,POINT (-122.42243 37.798683)
4157,POINT (-122.42251 37.74085)
5922,POINT (-122.45226 37.7241)
6387,POINT (-122.4116 37.71034)
4170,POINT (-122.443712 37.751682)
6756,POINT (-122.427177 37.798211)
6295,POINT (-122.43429 37.78988)
6249,POINT (-122.39123 37.7322)
6083,POINT (-122.42722 37.71884)
3273,POINT (-122.4737 37.7593)
6605,POINT (-122.446175 37.784383)
4355,POINT (-122.400822 37.757437)
4609,POINT (-122.436469 37.800891)
4668,POINT (-122.415245 37.76557)
4702,POINT (-122.482151 37.72176)
4073,POINT (-122.447779 37.766288)
6678,POINT (-122.449223 37.740975)
4712,POINT (-122.480902 37.72068)
5275,POINT (-122.436268 37.799845)
5138,POINT (-122.471674 37.731363)
4359,POINT (-122.4402 37.74693)
4938,POINT (-122.416047 37.712025)
4447,POINT (-122.429408 37.769472)
5227,POINT (-122.402485 37.75443)
6199,POINT (-122.401467 37.75211)
3191,POINT (-122.403367 37.773266)
7032,POINT (-122.404165 37.742528)
3738,POINT (-122.40993 37.75933)
6150,POINT (-122.4856 37.74827)
5059,POINT (-122.4201 37.804795)
5892,POINT (-122.456741 37.763718)
6680,POINT (-122.445283 37.73447)
3538,POINT (-122.424457 37.74217)
7908,POINT (-122.406723 37.757858)
5471,POINT (-122.410594 37.80688)
4699,POINT (-122.41345 37.74521)
5583,POINT (-122.422759 37.741052)
4968,POINT (-122.399913 37.780671)
6034,POINT (-122.40694 37.7575)
6594,POINT (-122.416908 37.788216)
3443,POINT (-122.48124 37.759735)
5064,POINT (-122.420535 37.806642)
4912,POINT (-122.461329 37.719952)
4640,POINT (-122.433244 37.786051)
6909,POINT (-122.461484 37.75691)
6139,POINT (-122.47408 37.74867)
6727,POINT (-122.453281 37.777905)
6932,POINT (-122.504351 37.736125)
4787,POINT (-122.433416 37.732525)
5363,POINT (-122.412352 37.79902)
5706,POINT (-122.44636 37.77571)
4211,POINT (-122.49318 37.77223)
3882,POINT (-122.402908 37.792762)
6157,POINT (-122.49121 37.74791)
3390,POINT (-122.475203 37.734556)
3458,POINT (-122.409281 37.752853)
7926,POINT (-122.465049 37.762147)
6306,POINT (-122.4293 37.7904)
4730,POINT (-122.461659 37.773952)
6597,POINT (-122.418536 37.788011)
4941,POINT (-122.427356 37.772559)
5589,POINT (-122.44462 37.71285)
8164,POINT (-122.446297 37.760299)
6254,POINT (-122.39029 37.73169)
4088,POINT (-122.449212 37.761711)
5046,POINT (-122.38412 37.7377)
3595,POINT (-122.504801 37.745423)
6898,POINT (-122.469042 37.737859)
4734,POINT (-122.466049 37.77347)
8147,POINT (-122.383348 37.73565)
4572,POINT (-122.433577 37.726162)
7444,POINT (-122.400099 37.793127)
3884,POINT (-122.437484 37.788518)
5358,POINT (-122.41258 37.800965)
3260,POINT (-122.431105 37.76767)
6013,POINT (-122.455776 37.741974)
4474,POINT (-122.438759 37.780546)
3719,POINT (-122.45618 37.713161)
3037,POINT (-122.466256 37.777065)
6989,POINT (-122.46055 37.73531)
4717,POINT (-122.447917 37.7671)
7985,POINT (-122.425285 37.724278)
3544,POINT (-122.42902 37.74191)
7560,POINT (-122.372805 37.824048)
6124,POINT (-122.424761 37.786174)
5307,POINT (-122.47524 37.76546)
6117,POINT (-122.46083 37.74023)
6920,POINT (-122.414693 37.794042)
4075,POINT (-122.445935 37.758793)
6352,POINT (-122.4023 37.71246)
5565,POINT (-122.418401 37.752356)
3387,POINT (-122.469998 37.714443)
5756,POINT (-122.500166 37.753125)
3018,POINT (-122.402994 37.727859)
4374,POINT (-122.43591 37.747889)
5628,POINT (-122.44845 37.71022)
3893,POINT (-122.446931 37.787212)
4200,POINT (-122.418214 37.734895)
5800,POINT (-122.44124 37.72326)
4233,POINT (-122.452868 37.775014)
5925,POINT (-122.452442 37.72685)
3548,POINT (-122.492335 37.781995)
3036,POINT (-122.466038 37.777199)
4124,POINT (-122.397785 37.764749)
6521,POINT (-122.40862 37.79716)
6980,POINT (-122.41238 37.72271)
4555,POINT (-122.386408 37.741949)
6837,POINT (-122.46677 37.73968)
4715,POINT (-122.446691 37.767261)
5039,POINT (-122.45164 37.71978)
5665,POINT (-122.434605 37.76292)
7730,POINT (-122.503537 37.771736)
6769,POINT (-122.417511 37.799324)
6277,POINT (-122.424157 37.739741)
4955,POINT (-122.425843 37.772764)
4666,POINT (-122.415667 37.768461)
5365,POINT (-122.411666 37.795602)
6371,POINT (-122.39995 37.71677)
3061,POINT (-122.497202 37.775781)
6168,POINT (-122.467681 37.749093)
5876,POINT (-122.389176 37.732912)
5832,POINT (-122.443301 37.736611)
7007,POINT (-122.39636 37.711)
4333,POINT (-122.434248 37.752083)
3872,POINT (-122.40425 37.792593)
3399,POINT (-122.47553 37.73901)
5330,POINT (-122.431331 37.730641)
5041,POINT (-122.388724 37.740336)
6470,POINT (-122.432183 37.712153)
4305,POINT (-122.428155 37.784854)
5853,POINT (-122.410175 37.796405)
6761,POINT (-122.419151 37.79912)
5694,POINT (-122.405859 37.785777)
5790,POINT (-122.449784 37.723022)
5193,POINT (-122.466688 37.762227)
3193,POINT (-122.40646 37.77573)
6462,POINT (-122.485834 37.734125)
3146,POINT (-122.396459 37.720861)
6669,POINT (-122.451388 37.743491)
6525,POINT (-122.40928 37.80054)
3698,POINT (-122.435706 37.733925)
5654,POINT (-122.43366 37.76391)
5923,POINT (-122.45243 37.72385)
4958,POINT (-122.445292 37.770196)
6347,POINT (-122.446657 37.720524)
3985,POINT (-122.428609 37.764382)
4192,POINT (-122.424056 37.735253)
3195,POINT (-122.411032 37.779327)
6373,POINT (-122.40301 37.72637)
6570,POINT (-122.40937 37.70996)
3578,POINT (-122.505888 37.758655)
4366,POINT (-122.439852 37.745239)
7758,POINT (-122.477243 37.765544)
5460,POINT (-122.417405 37.806168)
6509,POINT (-122.431509 37.731823)
3765,POINT (-122.4299 37.72238)
7746,POINT (-122.413763 37.748322)
5562,POINT (-122.4188 37.75517)
5485,POINT (-122.437897 37.711672)
3593,POINT (-122.504928 37.747288)
3306,POINT (-122.47374 37.74511)
3092,POINT (-122.414125 37.807407)
6508,POINT (-122.469797 37.734709)
4215,POINT (-122.49679 37.77192)
5814,POINT (-122.414445 37.785538)
4023,POINT (-122.416304 37.792959)
3747,POINT (-122.409178 37.752728)
4353,POINT (-122.401117 37.760934)
4749,POINT (-122.4841 37.772547)
3644,POINT (-122.459254 37.78556)
6725,POINT (-122.447138 37.778548)
7306,POINT (-122.469042 37.738091)
5768,POINT (-122.37896 37.73163)
6023,POINT (-122.41132 37.78788)
4818,POINT (-122.403976 37.791004)
7362,POINT (-122.388593 37.760367)
5917,POINT (-122.431356 37.720853)
4510,POINT (-122.389841 37.790749)
3712,POINT (-122.444938 37.749121)
5820,POINT (-122.455411 37.755304)
3845,POINT (-122.459288 37.785703)
3194,POINT (-122.409222 37.777935)
6407,POINT (-122.422786 37.728748)
3103,POINT (-122.38846 37.76079)
